,lg_lwr,lg_gwr,lg_twr,gl_lwr,gl_gwr,gl_twr,lr_lwr,lr_rwr,lr_twr,rl_lwr,rl_rwr,rl_twr,vals
0,1,0,0,0,1,0,1,0,0,0.55,0.45,0,"[12, 10, 8, 4]"
1,1,0,0,0,1,0,1,0,0,0.52,0.48,0,"[26, 92, 81, 1]"
2,1,0,0,0,1,0,1,0,0,0.55,0.45,0,"[59, 39, 65, 32]"
3,1,0,0,0,1,0,1,0,0,0.57,0.43,0,"[73, 58, 28, 63]"
4,1,0,0,0,1,0,1,0,0,0.48,0.52,0,"[88, 42, 25, 58]"
5,1,0,0,0,1,0,1,0,0,0.48,0.52,0,"[95, 43, 34, 37]"
6,1,0,0,0,1,0,0.55,0.45,0,0.57,0.43,0,"[85, 41, 74, 83]"
7,1,0,0,0,1,0,0.55,0.45,0,0.57,0.43,0,"[71, 9, 84, 32]"
8,1,0,0,0,1,0,1,0,0,0.57,0.43,0,"[62, 91, 63, 55]"
9,1,0,0,0,1,0,1,0,0,0.48,0.52,0,"[98, 66, 76, 71]"
